07-17 14:21:32 CppMemTotal:                         	   48.347347 MB 	   54.812500 MB
CCoreSceneMallocObject               	    0.000093 MB 	    0.062500 MB
CDistortedTimeMallocObject           	    0.000000 MB 	    0.000000 MB
CFindPathMallocObject                	    0.000000 MB 	    0.000000 MB
CCoreMsgMallocObject                 	    0.019674 MB 	    0.062500 MB
CScriptMallocObject                  	    0.668212 MB 	    0.875000 MB
CPtCORMallocObject                   	    0.000000 MB 	    0.000000 MB
CPTREFMallocObject                   	    0.000000 MB 	    0.000000 MB
CIDMapMallocObject                   	    0.001065 MB 	    0.062500 MB
CDbMallocObject                      	    0.000325 MB 	    0.187500 MB
CNetworkMallocObject                 	    0.007266 MB 	    0.062500 MB
CNetworkRecvBufferMallocObject       	    0.000000 MB 	    0.000000 MB
CNetworkSendBufferMallocObject       	    0.000000 MB 	    0.000000 MB
CNpcAIMallocObject                   	    0.000113 MB 	    0.062500 MB
CEntityMallocObject                  	    0.003346 MB 	    0.062500 MB
CConnMallocObject                    	    0.000240 MB 	    0.062500 MB
CConfigMallocObject                  	    0.009974 MB 	    0.062500 MB
CCastingProcessMallocObject          	    0.000000 MB 	    0.000000 MB
CScriptPoolObject1                   	    0.718558 MB 	    0.875000 MB
CMegaLogMallocObject                 	    0.000464 MB 	    0.125000 MB
CQuadMallocObject                    	    0.000295 MB 	    0.062500 MB
CScriptPoolObject2                   	    0.757710 MB 	    0.875000 MB
CScriptPoolObject3                   	    0.757710 MB 	    0.875000 MB
CMathMallocObject                    	    0.000000 MB 	    0.000000 MB
CValueMallocObject                   	    0.000217 MB 	    0.125000 MB
CTrMsgMallocObject                   	   37.173594 MB 	   39.562500 MB
CDataFileMallocObject                	    0.001095 MB 	    0.187500 MB
CCypherVariantMallocObject           	    0.000000 MB 	    0.000000 MB
CVariantMallocObject                 	    0.000202 MB 	    0.062500 MB
CLogMallocObject                     	    0.000919 MB 	    0.187500 MB
CTickMallocObject                    	    0.098306 MB 	    0.187500 MB
CMagicMallocObject                   	    0.000000 MB 	    0.000000 MB
CCfgCalcMallocObject                 	    0.005889 MB 	    0.062500 MB

07-17 14:26:23 CppMemTotal:                         	   48.370160 MB 	   54.875000 MB
GlobalPool                           	    0.125552 MB 	    0.625000 MB
CMagicStateMallocObject              	    0.000000 MB 	    0.000000 MB
CConnMsgMallocObject                 	    0.000000 MB 	    0.000000 MB
CServantMallocObject                 	    0.000000 MB 	    0.000000 MB
CActorMallocObject                   	    0.000000 MB 	    0.000000 MB
CMtDbMallocObject                    	    0.000639 MB 	    0.125000 MB
CMirrorMallocObject                  	    8.016025 MB 	    9.062500 MB
CNpcAIDataMallocObject               	    0.000124 MB 	    0.062500 MB
CFighterMallocObject                 	    0.000120 MB 	    0.062500 MB
CCoreObjMallocObject                 	    0.000000 MB 	    0.000000 MB
CMetaSceneMallocObject               	    0.000101 MB 	    0.062500 MB
CPtMQMallocObject                    	    0.001036 MB 	    0.062500 MB
CMsgMallocObject                     	    0.001295 MB 	    0.062500 MB
CCoreSceneMallocObject               	    0.000093 MB 	    0.062500 MB
CDistortedTimeMallocObject           	    0.000000 MB 	    0.000000 MB
CFindPathMallocObject                	    0.000000 MB 	    0.000000 MB
CCoreMsgMallocObject                 	    0.019674 MB 	    0.062500 MB
CScriptMallocObject                  	    0.668212 MB 	    0.875000 MB
CPtCORMallocObject                   	    0.000000 MB 	    0.000000 MB
CPTREFMallocObject                   	    0.000000 MB 	    0.000000 MB
CIDMapMallocObject                   	    0.001065 MB 	    0.062500 MB
CDbMallocObject                      	    0.000325 MB 	    0.187500 MB
CNetworkMallocObject                 	    0.007266 MB 	    0.062500 MB
CNetworkRecvBufferMallocObject       	    0.000000 MB 	    0.000000 MB
CNetworkSendBufferMallocObject       	    0.000000 MB 	    0.000000 MB
CNpcAIMallocObject                   	    0.000113 MB 	    0.062500 MB
CEntityMallocObject                  	    0.003346 MB 	    0.062500 MB
CConnMallocObject                    	    0.000240 MB 	    0.062500 MB
CConfigMallocObject                  	    0.009974 MB 	    0.062500 MB
CCastingProcessMallocObject          	    0.000000 MB 	    0.000000 MB
CScriptPoolObject1                   	    0.718558 MB 	    0.875000 MB
CMegaLogMallocObject                 	    0.000464 MB 	    0.125000 MB
CQuadMallocObject                    	    0.000295 MB 	    0.062500 MB
CScriptPoolObject2                   	    0.757710 MB 	    0.875000 MB
CScriptPoolObject3                   	    0.757710 MB 	    0.875000 MB
CMathMallocObject                    	    0.000000 MB 	    0.000000 MB
CValueMallocObject                   	    0.000217 MB 	    0.125000 MB
CTrMsgMallocObject                   	   37.173594 MB 	   39.562500 MB
CDataFileMallocObject                	    0.001095 MB 	    0.187500 MB
CCypherVariantMallocObject           	    0.000000 MB 	    0.000000 MB
CVariantMallocObject                 	    0.000202 MB 	    0.062500 MB
CLogMallocObject                     	    0.000919 MB 	    0.187500 MB
CTickMallocObject                    	    0.098306 MB 	    0.187500 MB
CMagicMallocObject                   	    0.000000 MB 	    0.000000 MB
CCfgCalcMallocObject                 	    0.005889 MB 	    0.062500 MB

07-17 14:26:33 CppMemTotal:                         	   48.370160 MB 	   54.875000 MB
GlobalPool                           	    0.125552 MB 	    0.625000 MB
CMagicStateMallocObject              	    0.000000 MB 	    0.000000 MB
CConnMsgMallocObject                 	    0.000000 MB 	    0.000000 MB
CServantMallocObject                 	    0.000000 MB 	    0.000000 MB
CActorMallocObject                   	    0.000000 MB 	    0.000000 MB
CMtDbMallocObject                    	    0.000639 MB 	    0.125000 MB
CMirrorMallocObject                  	    8.016025 MB 	    9.062500 MB
CNpcAIDataMallocObject               	    0.000124 MB 	    0.062500 MB
CFighterMallocObject                 	    0.000120 MB 	    0.062500 MB
CCoreObjMallocObject                 	    0.000000 MB 	    0.000000 MB
CMetaSceneMallocObject               	    0.000101 MB 	    0.062500 MB
CPtMQMallocObject                    	    0.001036 MB 	    0.062500 MB
CMsgMallocObject                     	    0.001295 MB 	    0.062500 MB
CCoreSceneMallocObject               	    0.000093 MB 	    0.062500 MB
CDistortedTimeMallocObject           	    0.000000 MB 	    0.000000 MB
CFindPathMallocObject                	    0.000000 MB 	    0.000000 MB
CCoreMsgMallocObject                 	    0.019674 MB 	    0.062500 MB
CScriptMallocObject                  	    0.668212 MB 	    0.875000 MB
CPtCORMallocObject                   	    0.000000 MB 	    0.000000 MB
CPTREFMallocObject                   	    0.000000 MB 	    0.000000 MB
CIDMapMallocObject                   	    0.001065 MB 	    0.062500 MB
CDbMallocObject                      	    0.000325 MB 	    0.187500 MB
CNetworkMallocObject                 	    0.007266 MB 	    0.062500 MB
CNetworkRecvBufferMallocObject       	    0.000000 MB 	    0.000000 MB
CNetworkSendBufferMallocObject       	    0.000000 MB 	    0.000000 MB
CNpcAIMallocObject                   	    0.000113 MB 	    0.062500 MB
CEntityMallocObject                  	    0.003346 MB 	    0.062500 MB
CConnMallocObject                    	    0.000240 MB 	    0.062500 MB
CConfigMallocObject                  	    0.009974 MB 	    0.062500 MB
CCastingProcessMallocObject          	    0.000000 MB 	    0.000000 MB
CScriptPoolObject1                   	    0.718558 MB 	    0.875000 MB
CMegaLogMallocObject                 	    0.000464 MB 	    0.125000 MB
CQuadMallocObject                    	    0.000295 MB 	    0.062500 MB
CScriptPoolObject2                   	    0.757710 MB 	    0.875000 MB
CScriptPoolObject3                   	    0.757710 MB 	    0.875000 MB
CMathMallocObject                    	    0.000000 MB 	    0.000000 MB
CValueMallocObject                   	    0.000217 MB 	    0.125000 MB
CTrMsgMallocObject                   	   37.173594 MB 	   39.562500 MB
CDataFileMallocObject                	    0.001095 MB 	    0.187500 MB
CCypherVariantMallocObject           	    0.000000 MB 	    0.000000 MB
CVariantMallocObject                 	    0.000202 MB 	    0.062500 MB
CLogMallocObject                     	    0.000919 MB 	    0.187500 MB
CTickMallocObject                    	    0.098306 MB 	    0.187500 MB
CMagicMallocObject                   	    0.000000 MB 	    0.000000 MB
CCfgCalcMallocObject                 	    0.005889 MB 	    0.062500 MB

07-17 14:26:42 CppMemTotal:                         	   48.370160 MB 	   54.875000 MB
GlobalPool                           	    0.125552 MB 	    0.625000 MB
CMagicStateMallocObject              	    0.000000 MB 	    0.000000 MB
CConnMsgMallocObject                 	    0.000000 MB 	    0.000000 MB
CServantMallocObject                 	    0.000000 MB 	    0.000000 MB
CActorMallocObject                   	    0.000000 MB 	    0.000000 MB
CMtDbMallocObject                    	    0.000639 MB 	    0.125000 MB
CMirrorMallocObject                  	    8.016025 MB 	    9.062500 MB
CNpcAIDataMallocObject               	    0.000124 MB 	    0.062500 MB
CFighterMallocObject                 	    0.000120 MB 	    0.062500 MB
CCoreObjMallocObject                 	    0.000000 MB 	    0.000000 MB
CMetaSceneMallocObject               	    0.000101 MB 	    0.062500 MB
CPtMQMallocObject                    	    0.001036 MB 	    0.062500 MB
CMsgMallocObject                     	    0.001295 MB 	    0.062500 MB
CCoreSceneMallocObject               	    0.000093 MB 	    0.062500 MB
CDistortedTimeMallocObject           	    0.000000 MB 	    0.000000 MB
CFindPathMallocObject                	    0.000000 MB 	    0.000000 MB
CCoreMsgMallocObject                 	    0.019674 MB 	    0.062500 MB
CScriptMallocObject                  	    0.668212 MB 	    0.875000 MB
CPtCORMallocObject                   	    0.000000 MB 	    0.000000 MB
CPTREFMallocObject                   	    0.000000 MB 	    0.000000 MB
CIDMapMallocObject                   	    0.001065 MB 	    0.062500 MB
CDbMallocObject                      	    0.000325 MB 	    0.187500 MB
CNetworkMallocObject                 	    0.007266 MB 	    0.062500 MB
CNetworkRecvBufferMallocObject       	    0.000000 MB 	    0.000000 MB
CNetworkSendBufferMallocObject       	    0.000000 MB 	    0.000000 MB
CNpcAIMallocObject                   	    0.000113 MB 	    0.062500 MB
CEntityMallocObject                  	    0.003346 MB 	    0.062500 MB
CConnMallocObject                    	    0.000240 MB 	    0.062500 MB
CConfigMallocObject                  	    0.009974 MB 	    0.062500 MB
CCastingProcessMallocObject          	    0.000000 MB 	    0.000000 MB
CScriptPoolObject1                   	    0.718558 MB 	    0.875000 MB
CMegaLogMallocObject                 	    0.000464 MB 	    0.125000 MB
CQuadMallocObject                    	    0.000295 MB 	    0.062500 MB
CScriptPoolObject2                   	    0.757710 MB 	    0.875000 MB
CScriptPoolObject3                   	    0.757710 MB 	    0.875000 MB
CMathMallocObject                    	    0.000000 MB 	    0.000000 MB
CValueMallocObject                   	    0.000217 MB 	    0.125000 MB
CTrMsgMallocObject                   	   37.173594 MB 	   39.562500 MB
CDataFileMallocObject                	    0.001095 MB 	    0.187500 MB
CCypherVariantMallocObject           	    0.000000 MB 	    0.000000 MB
CVariantMallocObject                 	    0.000202 MB 	    0.062500 MB
CLogMallocObject                     	    0.000919 MB 	    0.187500 MB
CTickMallocObject                    	    0.098306 MB 	    0.187500 MB
CMagicMallocObject                   	    0.000000 MB 	    0.000000 MB
CCfgCalcMallocObject                 	    0.005889 MB 	    0.062500 MB

07-17 14:26:52 CppMemTotal:                         	   48.370160 MB 	   54.875000 MB
GlobalPool                           	    0.125552 MB 	    0.625000 MB
CMagicStateMallocObject              	    0.000000 MB 	    0.000000 MB
CConnMsgMallocObject                 	    0.000000 MB 	    0.000000 MB
CServantMallocObject                 	    0.000000 MB 	    0.000000 MB
CActorMallocObject                   	    0.000000 MB 	    0.000000 MB
CMtDbMallocObject                    	    0.000639 MB 	    0.125000 MB
CMirrorMallocObject                  	    8.016025 MB 	    9.062500 MB
CNpcAIDataMallocObject               	    0.000124 MB 	    0.062500 MB
CFighterMallocObject                 	    0.000120 MB 	    0.062500 MB
CCoreObjMallocObject                 	    0.000000 MB 	    0.000000 MB
CMetaSceneMallocObject               	    0.000101 MB 	    0.062500 MB
CPtMQMallocObject                    	    0.001036 MB 	    0.062500 MB
CMsgMallocObject                     	    0.001295 MB 	    0.062500 MB
CCoreSceneMallocObject               	    0.000093 MB 	    0.062500 MB
CDistortedTimeMallocObject           	    0.000000 MB 	    0.000000 MB
CFindPathMallocObject                	    0.000000 MB 	    0.000000 MB
CCoreMsgMallocObject                 	    0.019674 MB 	    0.062500 MB
CScriptMallocObject                  	    0.668212 MB 	    0.875000 MB
CPtCORMallocObject                   	    0.000000 MB 	    0.000000 MB
CPTREFMallocObject                   	    0.000000 MB 	    0.000000 MB
CIDMapMallocObject                   	    0.001065 MB 	    0.062500 MB
CDbMallocObject                      	    0.000325 MB 	    0.187500 MB
CNetworkMallocObject                 	    0.007266 MB 	    0.062500 MB
CNetworkRecvBufferMallocObject       	    0.000000 MB 	    0.000000 MB
CNetworkSendBufferMallocObject       	    0.000000 MB 	    0.000000 MB
CNpcAIMallocObject                   	    0.000113 MB 	    0.062500 MB
CEntityMallocObject                  	    0.003346 MB 	    0.062500 MB
CConnMallocObject                    	    0.000240 MB 	    0.062500 MB
CConfigMallocObject                  	    0.009974 MB 	    0.062500 MB
CCastingProcessMallocObject          	    0.000000 MB 	    0.000000 MB
CScriptPoolObject1                   	    0.718558 MB 	    0.875000 MB
CMegaLogMallocObject                 	    0.000464 MB 	    0.125000 MB
CQuadMallocObject                    	    0.000295 MB 	    0.062500 MB
CScriptPoolObject2                   	    0.757710 MB 	    0.875000 MB
CScriptPoolObject3                   	    0.757710 MB 	    0.875000 MB
CMathMallocObject                    	    0.000000 MB 	    0.000000 MB
CValueMallocObject                   	    0.000217 MB 	    0.125000 MB
CTrMsgMallocObject                   	   37.173594 MB 	   39.562500 MB
CDataFileMallocObject                	    0.001095 MB 	    0.187500 MB
CCypherVariantMallocObject           	    0.000000 MB 	    0.000000 MB
CVariantMallocObject                 	    0.000202 MB 	    0.062500 MB
CLogMallocObject                     	    0.000919 MB 	    0.187500 MB
CTickMallocObject                    	    0.098306 MB 	    0.187500 MB
CMagicMallocObject                   	    0.000000 MB 	    0.000000 MB
CCfgCalcMallocObject                 	    0.005889 MB 	    0.062500 MB

07-17 14:27:03 CppMemTotal:                         	   48.370160 MB 	   54.875000 MB
GlobalPool                           	    0.125552 MB 	    0.625000 MB
CMagicStateMallocObject              	    0.000000 MB 	    0.000000 MB
CConnMsgMallocObject                 	    0.000000 MB 	    0.000000 MB
CServantMallocObject                 	    0.000000 MB 	    0.000000 MB
CActorMallocObject                   	    0.000000 MB 	    0.000000 MB
CMtDbMallocObject                    	    0.000639 MB 	    0.125000 MB
CMirrorMallocObject                  	    8.016025 MB 	    9.062500 MB
CNpcAIDataMallocObject               	    0.000124 MB 	    0.062500 MB
CFighterMallocObject                 	    0.000120 MB 	    0.062500 MB
CCoreObjMallocObject                 	    0.000000 MB 	    0.000000 MB
CMetaSceneMallocObject               	    0.000101 MB 	    0.062500 MB
CPtMQMallocObject                    	    0.001036 MB 	    0.062500 MB
CMsgMallocObject                     	    0.001295 MB 	    0.062500 MB
CCoreSceneMallocObject               	    0.000093 MB 	    0.062500 MB
CDistortedTimeMallocObject           	    0.000000 MB 	    0.000000 MB
CFindPathMallocObject                	    0.000000 MB 	    0.000000 MB
CCoreMsgMallocObject                 	    0.019674 MB 	    0.062500 MB
CScriptMallocObject                  	    0.668212 MB 	    0.875000 MB
CPtCORMallocObject                   	    0.000000 MB 	    0.000000 MB
CPTREFMallocObject                   	    0.000000 MB 	    0.000000 MB
CIDMapMallocObject                   	    0.001065 MB 	    0.062500 MB
CDbMallocObject                      	    0.000325 MB 	    0.187500 MB
CNetworkMallocObject                 	    0.007266 MB 	    0.062500 MB
CNetworkRecvBufferMallocObject       	    0.000000 MB 	    0.000000 MB
CNetworkSendBufferMallocObject       	    0.000000 MB 	    0.000000 MB
CNpcAIMallocObject                   	    0.000113 MB 	    0.062500 MB
CEntityMallocObject                  	    0.003346 MB 	    0.062500 MB
CConnMallocObject                    	    0.000240 MB 	    0.062500 MB
CConfigMallocObject                  	    0.009974 MB 	    0.062500 MB
CCastingProcessMallocObject          	    0.000000 MB 	    0.000000 MB
CScriptPoolObject1                   	    0.718558 MB 	    0.875000 MB
CMegaLogMallocObject                 	    0.000464 MB 	    0.125000 MB
CQuadMallocObject                    	    0.000295 MB 	    0.062500 MB
CScriptPoolObject2                   	    0.757710 MB 	    0.875000 MB
CScriptPoolObject3                   	    0.757710 MB 	    0.875000 MB
CMathMallocObject                    	    0.000000 MB 	    0.000000 MB
CValueMallocObject                   	    0.000217 MB 	    0.125000 MB
CTrMsgMallocObject                   	   37.173594 MB 	   39.562500 MB
CDataFileMallocObject                	    0.001095 MB 	    0.187500 MB
CCypherVariantMallocObject           	    0.000000 MB 	    0.000000 MB
CVariantMallocObject                 	    0.000202 MB 	    0.062500 MB
CLogMallocObject                     	    0.000919 MB 	    0.187500 MB
CTickMallocObject                    	    0.098306 MB 	    0.187500 MB
CMagicMallocObject                   	    0.000000 MB 	    0.000000 MB
CCfgCalcMallocObject                 	    0.005889 MB 	    0.062500 MB

07-17 14:27:13 CppMemTotal:                         	   48.370160 MB 	   54.875000 MB
GlobalPool                           	    0.125552 MB 	    0.625000 MB
CMagicStateMallocObject              	    0.000000 MB 	    0.000000 MB
CConnMsgMallocObject                 	    0.000000 MB 	    0.000000 MB
CServantMallocObject                 	    0.000000 MB 	    0.000000 MB
CActorMallocObject                   	    0.000000 MB 	    0.000000 MB
CMtDbMallocObject                    	    0.000639 MB 	    0.125000 MB
CMirrorMallocObject                  	    8.016025 MB 	    9.062500 MB
CNpcAIDataMallocObject               	    0.000124 MB 	    0.062500 MB
CFighterMallocObject                 	    0.000120 MB 	    0.062500 MB
CCoreObjMallocObject                 	    0.000000 MB 	    0.000000 MB
CMetaSceneMallocObject               	    0.000101 MB 	    0.062500 MB
CPtMQMallocObject                    	    0.001036 MB 	    0.062500 MB
CMsgMallocObject                     	    0.001295 MB 	    0.062500 MB
CCoreSceneMallocObject               	    0.000093 MB 	    0.062500 MB
CDistortedTimeMallocObject           	    0.000000 MB 	    0.000000 MB
CFindPathMallocObject                	    0.000000 MB 	    0.000000 MB
CCoreMsgMallocObject                 	    0.019674 MB 	    0.062500 MB
CScriptMallocObject                  	    0.668212 MB 	    0.875000 MB
CPtCORMallocObject                   	    0.000000 MB 	    0.000000 MB
CPTREFMallocObject                   	    0.000000 MB 	    0.000000 MB
CIDMapMallocObject                   	    0.001065 MB 	    0.062500 MB
CDbMallocObject                      	    0.000325 MB 	    0.187500 MB
CNetworkMallocObject                 	    0.007266 MB 	    0.062500 MB
CNetworkRecvBufferMallocObject       	    0.000000 MB 	    0.000000 MB
CNetworkSendBufferMallocObject       	    0.000000 MB 	    0.000000 MB
CNpcAIMallocObject                   	    0.000113 MB 	    0.062500 MB
CEntityMallocObject                  	    0.003346 MB 	    0.062500 MB
CConnMallocObject                    	    0.000240 MB 	    0.062500 MB
CConfigMallocObject                  	    0.009974 MB 	    0.062500 MB
CCastingProcessMallocObject          	    0.000000 MB 	    0.000000 MB
CScriptPoolObject1                   	    0.718558 MB 	    0.875000 MB
CMegaLogMallocObject                 	    0.000464 MB 	    0.125000 MB
CQuadMallocObject                    	    0.000295 MB 	    0.062500 MB
CScriptPoolObject2                   	    0.757710 MB 	    0.875000 MB
CScriptPoolObject3                   	    0.757710 MB 	    0.875000 MB
CMathMallocObject                    	    0.000000 MB 	    0.000000 MB
CValueMallocObject                   	    0.000217 MB 	    0.125000 MB
CTrMsgMallocObject                   	   37.173594 MB 	   39.562500 MB
CDataFileMallocObject                	    0.001095 MB 	    0.187500 MB
CCypherVariantMallocObject           	    0.000000 MB 	    0.000000 MB
CVariantMallocObject                 	    0.000202 MB 	    0.062500 MB
CLogMallocObject                     	    0.000919 MB 	    0.187500 MB
CTickMallocObject                    	    0.098306 MB 	    0.187500 MB
CMagicMallocObject                   	    0.000000 MB 	    0.000000 MB
CCfgCalcMallocObject                 	    0.005889 MB 	    0.062500 MB

07-17 14:27:23 CppMemTotal:                         	   48.370160 MB 	   54.875000 MB
GlobalPool                           	    0.125552 MB 	    0.625000 MB
CMagicStateMallocObject              	    0.000000 MB 	    0.000000 MB
CConnMsgMallocObject                 	    0.000000 MB 	    0.000000 MB
CServantMallocObject                 	    0.000000 MB 	    0.000000 MB
CActorMallocObject                   	    0.000000 MB 	    0.000000 MB
CMtDbMallocObject                    	    0.000639 MB 	    0.125000 MB
CMirrorMallocObject                  	    8.016025 MB 	    9.062500 MB
CNpcAIDataMallocObject               	    0.000124 MB 	    0.062500 MB
CFighterMallocObject                 	    0.000120 MB 	    0.062500 MB
CCoreObjMallocObject                 	    0.000000 MB 	    0.000000 MB
CMetaSceneMallocObject               	    0.000101 MB 	    0.062500 MB
CPtMQMallocObject                    	    0.001036 MB 	    0.062500 MB
CMsgMallocObject                     	    0.001295 MB 	    0.062500 MB
CCoreSceneMallocObject               	    0.000093 MB 	    0.062500 MB
CDistortedTimeMallocObject           	    0.000000 MB 	    0.000000 MB
CFindPathMallocObject                	    0.000000 MB 	    0.000000 MB
CCoreMsgMallocObject                 	    0.019674 MB 	    0.062500 MB
CScriptMallocObject                  	    0.668212 MB 	    0.875000 MB
CPtCORMallocObject                   	    0.000000 MB 	    0.000000 MB
CPTREFMallocObject                   	    0.000000 MB 	    0.000000 MB
CIDMapMallocObject                   	    0.001065 MB 	    0.062500 MB
CDbMallocObject                      	    0.000325 MB 	    0.187500 MB
CNetworkMallocObject                 	    0.007266 MB 	    0.062500 MB
CNetworkRecvBufferMallocObject       	    0.000000 MB 	    0.000000 MB
CNetworkSendBufferMallocObject       	    0.000000 MB 	    0.000000 MB
CNpcAIMallocObject                   	    0.000113 MB 	    0.062500 MB
CEntityMallocObject                  	    0.003346 MB 	    0.062500 MB
CConnMallocObject                    	    0.000240 MB 	    0.062500 MB
CConfigMallocObject                  	    0.009974 MB 	    0.062500 MB
CCastingProcessMallocObject          	    0.000000 MB 	    0.000000 MB
CScriptPoolObject1                   	    0.718558 MB 	    0.875000 MB
CMegaLogMallocObject                 	    0.000464 MB 	    0.125000 MB
CQuadMallocObject                    	    0.000295 MB 	    0.062500 MB
CScriptPoolObject2                   	    0.757710 MB 	    0.875000 MB
CScriptPoolObject3                   	    0.757710 MB 	    0.875000 MB
CMathMallocObject                    	    0.000000 MB 	    0.000000 MB
CValueMallocObject                   	    0.000217 MB 	    0.125000 MB
CTrMsgMallocObject                   	   37.173594 MB 	   39.562500 MB
CDataFileMallocObject                	    0.001095 MB 	    0.187500 MB
CCypherVariantMallocObject           	    0.000000 MB 	    0.000000 MB
CVariantMallocObject                 	    0.000202 MB 	    0.062500 MB
CLogMallocObject                     	    0.000919 MB 	    0.187500 MB
CTickMallocObject                    	    0.098306 MB 	    0.187500 MB
CMagicMallocObject                   	    0.000000 MB 	    0.000000 MB
CCfgCalcMallocObject                 	    0.005889 MB 	    0.062500 MB

07-17 14:27:33 CppMemTotal:                         	   48.370160 MB 	   54.875000 MB
GlobalPool                           	    0.125552 MB 	    0.625000 MB
CMagicStateMallocObject              	    0.000000 MB 	    0.000000 MB
CConnMsgMallocObject                 	    0.000000 MB 	    0.000000 MB
CServantMallocObject                 	    0.000000 MB 	    0.000000 MB
CActorMallocObject                   	    0.000000 MB 	    0.000000 MB
CMtDbMallocObject                    	    0.000639 MB 	    0.125000 MB
CMirrorMallocObject                  	    8.016025 MB 	    9.062500 MB
CNpcAIDataMallocObject               	    0.000124 MB 	    0.062500 MB
CFighterMallocObject                 	    0.000120 MB 	    0.062500 MB
CCoreObjMallocObject                 	    0.000000 MB 	    0.000000 MB
CMetaSceneMallocObject               	    0.000101 MB 	    0.062500 MB
CPtMQMallocObject                    	    0.001036 MB 	    0.062500 MB
CMsgMallocObject                     	    0.001295 MB 	    0.062500 MB
CCoreSceneMallocObject               	    0.000093 MB 	    0.062500 MB
CDistortedTimeMallocObject           	    0.000000 MB 	    0.000000 MB
CFindPathMallocObject                	    0.000000 MB 	    0.000000 MB
CCoreMsgMallocObject                 	    0.019674 MB 	    0.062500 MB
CScriptMallocObject                  	    0.668212 MB 	    0.875000 MB
CPtCORMallocObject                   	    0.000000 MB 	    0.000000 MB
CPTREFMallocObject                   	    0.000000 MB 	    0.000000 MB
CIDMapMallocObject                   	    0.001065 MB 	    0.062500 MB
CDbMallocObject                      	    0.000325 MB 	    0.187500 MB
CNetworkMallocObject                 	    0.007266 MB 	    0.062500 MB
CNetworkRecvBufferMallocObject       	    0.000000 MB 	    0.000000 MB
CNetworkSendBufferMallocObject       	    0.000000 MB 	    0.000000 MB
CNpcAIMallocObject                   	    0.000113 MB 	    0.062500 MB
CEntityMallocObject                  	    0.003346 MB 	    0.062500 MB
CConnMallocObject                    	    0.000240 MB 	    0.062500 MB
CConfigMallocObject                  	    0.009974 MB 	    0.062500 MB
CCastingProcessMallocObject          	    0.000000 MB 	    0.000000 MB
CScriptPoolObject1                   	    0.718558 MB 	    0.875000 MB
CMegaLogMallocObject                 	    0.000464 MB 	    0.125000 MB
CQuadMallocObject                    	    0.000295 MB 	    0.062500 MB
CScriptPoolObject2                   	    0.757710 MB 	    0.875000 MB
CScriptPoolObject3                   	    0.757710 MB 	    0.875000 MB
CMathMallocObject                    	    0.000000 MB 	    0.000000 MB
CValueMallocObject                   	    0.000217 MB 	    0.125000 MB
CTrMsgMallocObject                   	   37.173594 MB 	   39.562500 MB
CDataFileMallocObject                	    0.001095 MB 	    0.187500 MB
CCypherVariantMallocObject           	    0.000000 MB 	    0.000000 MB
CVariantMallocObject                 	    0.000202 MB 	    0.062500 MB
CLogMallocObject                     	    0.000919 MB 	    0.187500 MB
CTickMallocObject                    	    0.098306 MB 	    0.187500 MB
CMagicMallocObject                   	    0.000000 MB 	    0.000000 MB
CCfgCalcMallocObject                 	    0.005889 MB 	    0.062500 MB

07-17 14:27:43 CppMemTotal:                         	   48.370160 MB 	   54.875000 MB
GlobalPool                           	    0.125552 MB 	    0.625000 MB
CMagicStateMallocObject              	    0.000000 MB 	    0.000000 MB
CConnMsgMallocObject                 	    0.000000 MB 	    0.000000 MB
CServantMallocObject                 	    0.000000 MB 	    0.000000 MB
CActorMallocObject                   	    0.000000 MB 	    0.000000 MB
CMtDbMallocObject                    	    0.000639 MB 	    0.125000 MB
CMirrorMallocObject                  	    8.016025 MB 	    9.062500 MB
CNpcAIDataMallocObject               	    0.000124 MB 	    0.062500 MB
CFighterMallocObject                 	    0.000120 MB 	    0.062500 MB
CCoreObjMallocObject                 	    0.000000 MB 	    0.000000 MB
CMetaSceneMallocObject               	    0.000101 MB 	    0.062500 MB
CPtMQMallocObject                    	    0.001036 MB 	    0.062500 MB
CMsgMallocObject                     	    0.001295 MB 	    0.062500 MB
CCoreSceneMallocObject               	    0.000093 MB 	    0.062500 MB
CDistortedTimeMallocObject           	    0.000000 MB 	    0.000000 MB
CFindPathMallocObject                	    0.000000 MB 	    0.000000 MB
CCoreMsgMallocObject                 	    0.019674 MB 	    0.062500 MB
CScriptMallocObject                  	    0.668212 MB 	    0.875000 MB
CPtCORMallocObject                   	    0.000000 MB 	    0.000000 MB
CPTREFMallocObject                   	    0.000000 MB 	    0.000000 MB
CIDMapMallocObject                   	    0.001065 MB 	    0.062500 MB
CDbMallocObject                      	    0.000325 MB 	    0.187500 MB
CNetworkMallocObject                 	    0.007266 MB 	    0.062500 MB
CNetworkRecvBufferMallocObject       	    0.000000 MB 	    0.000000 MB
CNetworkSendBufferMallocObject       	    0.000000 MB 	    0.000000 MB
CNpcAIMallocObject                   	    0.000113 MB 	    0.062500 MB
CEntityMallocObject                  	    0.003346 MB 	    0.062500 MB
CConnMallocObject                    	    0.000240 MB 	    0.062500 MB
CConfigMallocObject                  	    0.009974 MB 	    0.062500 MB
CCastingProcessMallocObject          	    0.000000 MB 	    0.000000 MB
CScriptPoolObject1                   	    0.718558 MB 	    0.875000 MB
CMegaLogMallocObject                 	    0.000464 MB 	    0.125000 MB
CQuadMallocObject                    	    0.000295 MB 	    0.062500 MB
